run,duration,hv,region,station,layer,chamber,online_report,has_dc,is_good,total,passed,eff,eff_low,eff_up
343042,1.4711111111111113,690,-1,1,1,20,1,False,False,5,0,0.0,0.0,0.3081597046960666
343042,1.4711111111111113,690,-1,1,1,21,2,False,False,6,5,0.8333333333333334,0.5458546295255214,0.9716481319524075
343042,1.4711111111111113,690,-1,1,1,22,1,False,False,7,7,1.0,0.7686320095949131,1.0
343042,1.4711111111111113,690,-1,1,1,23,1,False,False,4,4,1.0,0.6309679744233361,1.0
343042,1.4711111111111113,690,-1,1,1,24,1,False,False,8,7,0.875,0.642639579939446,0.9786598353495053
343042,1.4711111111111113,690,-1,1,1,25,1,False,False,13,10,0.7692307692307693,0.5944192183200492,0.8920415273307574
343042,1.4711111111111113,690,-1,1,1,26,1,False,False,17,15,0.8823529411764706,0.7476814479239755,0.9579902190404037
343042,1.4711111111111113,690,-1,1,1,27,1,False,False,11,7,0.6363636363636364,0.4410390864773018,0.8011962166423003
343042,1.4711111111111113,690,-1,1,1,28,1,False,False,12,8,0.6666666666666666,0.48058123452585483,0.8185878639948858
343042,1.4711111111111113,690,-1,1,1,29,0,False,False,10,0,0.0,0.0,0.16823062372798717
343042,1.4711111111111113,690,-1,1,1,30,1,False,False,11,6,0.5454545454545454,0.3557039904874297,0.725117639996449
343042,1.4711111111111113,690,-1,1,1,31,1,False,False,3,0,0.0,0.0,0.45881831707455506
343042,1.4711111111111113,690,-1,1,1,32,1,False,False,15,11,0.7333333333333333,0.5721061990656711,0.8562530186057731
343042,1.4711111111111113,690,-1,1,1,33,1,False,False,6,2,0.3333333333333333,0.12132656335294205,0.615476906156992
343042,1.4711111111111113,690,-1,1,1,34,1,False,False,6,5,0.8333333333333334,0.5458546295255214,0.9716481319524075
343042,1.4711111111111113,690,-1,1,1,35,1,False,False,7,6,0.8571428571428571,0.5999001521902703,0.9756486450651397
343042,1.4711111111111113,690,-1,1,1,36,1,False,False,8,7,0.875,0.642639579939446,0.9786598353495053
343042,1.4711111111111113,690,-1,1,2,1,0,False,False,3,0,0.0,0.0,0.45881831707455506
343042,1.4711111111111113,690,-1,1,2,2,1,False,False,3,1,0.3333333333333333,0.055899907673396906,0.748005291042124
343042,1.4711111111111113,690,-1,1,2,3,1,False,False,3,3,1.0,0.5411816829254449,1.0
343042,1.4711111111111113,690,-1,1,2,4,0,False,False,8,0,0.0,0.0,0.205665074151126
343042,1.4711111111111113,690,-1,1,2,5,1,False,False,7,5,0.7142857142857143,0.45423126576823075,0.8964764025066596
343042,1.4711111111111113,690,-1,1,2,6,1,False,False,12,11,0.9166666666666666,0.7500636075246232,0.985722137294485
343042,1.4711111111111113,690,-1,1,2,7,1,False,False,6,3,0.5,0.24298938075028056,0.7570106192497195
343042,1.4711111111111113,690,-1,1,2,8,0,False,False,16,0,0.0,0.0,0.10874530809152322
343042,1.4711111111111113,690,-1,1,2,9,1,False,False,11,5,0.45454545454545453,0.2748823600035511,0.6442960095125703
343042,1.4711111111111113,690,-1,1,2,10,1,False,False,26,22,0.8461538461538461,0.7410639240543838,0.9183091670945704
343042,1.4711111111111113,690,-1,1,2,11,1,False,False,13,7,0.5384615384615384,0.3663748967945451,0.7033859412816812
343042,1.4711111111111113,690,-1,1,2,12,1,False,False,20,15,0.75,0.6161816821285747,0.8534538194065061
343042,1.4711111111111113,690,-1,1,2,13,0,False,False,14,0,0.0,0.0,0.12328339265477974
343042,1.4711111111111113,690,-1,1,2,14,1,False,False,11,5,0.45454545454545453,0.2748823600035511,0.6442960095125703
343042,1.4711111111111113,690,-1,1,2,15,1,False,False,7,7,1.0,0.7686320095949131,1.0
343042,1.4711111111111113,690,-1,1,2,16,1,False,False,14,8,0.5714285714285714,0.4044771777909571,0.7260572093036207
343042,1.4711111111111113,690,-1,1,2,17,1,False,False,3,3,1.0,0.5411816829254449,1.0
343042,1.4711111111111113,690,-1,1,2,18,1,False,False,5,4,0.8,0.47561182090023846,0.9660749564895486
343042,1.4711111111111113,690,-1,1,2,19,1,False,False,0,0,0.0,0.0,0.0
343042,1.4711111111111113,690,-1,1,2,20,1,False,False,5,1,0.2,0.033925043510451475,0.5243881790997615
343042,1.4711111111111113,690,-1,1,2,21,1,False,False,7,4,0.5714285714285714,0.3234818002659614,0.7940038353194233
343042,1.4711111111111113,690,-1,1,2,22,1,False,False,6,4,0.6666666666666666,0.38452309384300803,0.878673436647058
343042,1.4711111111111113,690,-1,1,2,23,1,False,False,4,4,1.0,0.6309679744233361,1.0
343042,1.4711111111111113,690,-1,1,2,24,1,False,False,7,5,0.7142857142857143,0.45423126576823075,0.8964764025066596
343042,1.4711111111111113,690,-1,1,2,25,1,False,False,12,8,0.6666666666666666,0.48058123452585483,0.8185878639948858
343042,1.4711111111111113,690,-1,1,2,26,1,False,False,17,16,0.9411764705882353,0.8185328670466849,0.9899002156006572
343042,1.4711111111111113,690,-1,1,2,27,1,False,False,12,6,0.5,0.323439173504511,0.676560826495489
343042,1.4711111111111113,690,-1,1,2,28,1,False,False,15,11,0.7333333333333333,0.5721061990656711,0.8562530186057731
343042,1.4711111111111113,690,-1,1,2,29,0,False,False,9,0,0.0,0.0,0.1850811513044785
